Title,ISBN,Author,Category,Subject,Grade,Quantity,Publisher,PublishYear,Edition
Skills in English - BK001,978-9966-63-593-8,KICD,Grade 4 Textbooks,English,Grade 4,36,BK001,2023,1st
Agriculture - MTP - BK002,978-9914-730-04-3,KICD,Grade 4 Textbooks,Agric,Grade 4,27,BK002,2023,2nd
Champion Creative Art - BK003,978-9914-730-28-9,KICD,Grade 4 Textbooks,Art,Grade 4,41,BK003,2023,2nd
KLB Visionary Mathematics -BK004,978-9914-550-25-2,KLB,Grade 4 Textbooks,Mathematics,Grade 4,41,BK004,2025,1st
Supper minds Social Studies - BK005,978-9966-568-39-7,KLB,Grade 4 Textbooks,Social Studies,Grade 4,41,BK005,2025,1st
Rationalised Spotlight science and Technology Grade 4 - BK006,978-9966-57-441-1,SpotLight,Grade 4 Textbooks,Agric,Grade 4,38,BK006,2025,1st
CRE - BK007,978-9914-769-25-8,Mentor,Grade 4 Textbooks,acre,Grade 4,41,BK007,2025,1st
Kiswahili Sahili - BK008,978-9914-729-05-4,Access,Grade 4 Textbooks,Kiswahili,Grade 4,41,BK008,2025,1st
Mentor Mathematics Grade 5 Trs bk - BK009,978-9914-779-05-4,Mentor,Grade 5 Textbooks,Mathematics,Grade 5,1,BK009,2026,1st
Agriculture - MTP - Grade 6 - BK010,978-9914-9839-6-8,Highland,Grade 6 Textbooks,Agric,Grade 6,39,BK010,2026,1st
longhorn science and Technology Grade 5 - BK0011,978-9966-64-542-5,Longhorn,Grade 5 Textbooks,SCI,Grade 5,46,BK011,2026,1st
